第X台,#genre#
ELTA影劇台ᴴᴰ,http://198.16.106.62:8278/streams/d/eltadrama_zero/playlist.m3u8
ELTA綜合台ᴴᴰ,http://198.16.106.62:8278/streams/d/eltazonghe_zero/playlist.m3u8
豬哥亮歌廳秀,
公視台語台HD,
CNN,mitv://fccseuro.pvbox.live:18912/5b140954000dc92a375d63ea7e478ea8.ts
民視 ᴴᴰ,http://198.16.106.62:8278/streams/d/ftvhd_taiwan/playlist.m3u8
人間衛視,
台視ᴴᴰ,rtmp://59.124.75.153/sat/tv071
大愛,http://61.58.60.230:9319/live/10.m3u8
中視ᴴᴰ,rtmp://161.202.204.248:1935/sat/tv091
霹靂台灣台HD,
華視ᴴᴰ,rtmp://161.202.204.248/sat/tv112
公視,p2p://fccsovh.pvbox.live:18912/5b1409600001a0b2b34e074d843505c0
民視影劇,http://seb.sason.top/ptv/ftv.php?id=yj
好消息,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
原住民族電視台,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
客家電視台HD,
國家地理頻道,rtmp://58.200.131.2/livetv/natlgeo
Discovery探索,rtmp://58.200.131.2:1935/livetv/discovery
動物星球頻道,p2p://fccseuro.pvbox.live:18912/5b14096100006f339d699b1699f3896d
TLC 旅遊生活頻道,p2p://fccseuro.pvbox.live:18912/5b13f6f10002d2ef87429e6d2f0f4a1b
CN卡通頻道,http://125.227.210.37:16671/VideoInput/play.ts 
迪士尼頻道,p2p://fccseuro.pvbox.live:18912/5b1409f30004f6ece892d1065e09745c
momo親子台,mitv://fccseuro.pvbox.live:18912/5b1409690009f8b05e37c26041779937
東森幼幼台ᴴᴰ,p2p://fccseuro.pvbox.live:18912/5b140a9a00071c28641ddb2252e4cebc
緯來綜合ᴴᴰ,http://198.16.106.62:8278/streams/d/videolandzonghe_zero/playlist.m3u8
八大第一台ᴴᴰ,p2p://fccseuro.pvbox.live:18912/5b14096a0004400315488cff3fdbf3b5
八大綜合台ᴴᴰ,mitv://fccseuro.pvbox.live:18912/5b14092c0004b9c210b0c400e8356e40
三立台灣台,http://198.16.106.62:8278/streams/d/sanlitaiwan/playlist.m3u8
三立都會台,p2p://fccseuro.pvbox.live:18912/5c2dd74e0008135f19666442e08f8a73
衛視中文台ᴴᴰ,p2p://fccseuro.pvbox.live:18912/5b14096a00006f07db24be365821c0f3
東森綜合ᴴᴰ,p2p://fccseuro.pvbox.live:18912/5c2dd75500095b3b674c205e3f098061
東森超視ᴴᴰ,rtmp://161.202.204.248/sat/tv772
金光布袋戲,
TVBS精采台ᴴᴰ,p2p://fccseuro.pvbox.live:18912/5bdbf3b20000e966127226d088c6564d
中天綜合ᴴᴰ,http://198.16.106.62:8278/streams/d/ctizhonghe/playlist.m3u8
東風 37,mitv://fccseuro.pvbox.live:18912/5b140a970005af9a17d6fa9c392512d4
年代MUCHᴴᴰ,mitv://fccseuro.pvbox.live:18912/5b3c4f9d00057620627ef7cc381e3197
中天娛樂ᴴᴰ,p2p://fccseuro.pvbox.live:18912/5b1409f300034b9468d187e0e1ce2520
東森戲劇ᴴᴰ,p2p://fccseuro.pvbox.live:18912/5b1409f20000320bffd8fe47d4aa4282
八大戲劇台ᴴᴰ,p2p://fccseuro.pvbox.live:18912/5b1409690000706aa2b351f989915dc3
TVBS歡樂台ᴴᴰ,http://198.16.106.62:8278/streams/d/tvbsgbk_twn/playlist.m3u8
緯來戲劇ᴴᴰ,http://198.16.106.62:8278/streams/d/videolandxiju_zero/playlist.m3u8
高點電視台HD,
JET綜合,mitv://fccseuro.pvbox.live:18912/5b1409f30001262751180c32d7f81d19
[V]ᴴᴰ,https://livecdn.fptplay.net/foxlive/channelvhd_hls.smil/chunklist_b2500000.m3u8
